Year,District,Programme,Stream,Number,Passed,Z-Score
2022,HAMBANTOTA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.7698
2022,JAFFNA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.707
2022,MULLAITIVU,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,TRINCOMALEE,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,BATTICALOA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,AMPARA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.8048
2022,PUTTALAM,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6839
2022,KURUNEGALA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.802
2022,ANURADHAPURA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6791
2022,POLONNARUWA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,BADULLA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6845
2022,MONARAGALA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6825
2022,KEGALLE,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.7998
2022,RATNAPURA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.7541
2022,COLOMBO,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.9152
2022,GAMPAHA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.689
2022,KALUTARA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.7711
2022,MATALE,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6921
2022,KANDY,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.8229
2022,NUWARA ELIYA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.7319
2022,GALLE,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.8661
2022,MATARA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,HAMBANTOTA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,JAFFNA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.8481
2022,MULLAITIVU,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,TRINCOMALEE,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.7552
2022,BATTICALOA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,AMPARA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.8216
2022,PUTTALAM,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6873
2022,KURUNEGALA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.8038
2022,ANURADHAPURA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6969
2022,POLONNARUWA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6921
2022,BADULLA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6892
2022,MONARAGALA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.6948
2022,KEGALLE,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.7702
2022,RATNAPURA,MEDICINE (Wayamba University of Sri Lanka),Bio Science,40329.0,25851.0,1.7803
2022,COLOMBO,MEDICINE (Uva Wellassa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,GAMPAHA,MEDICINE (Uva Wellassa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6473
2022,KALUTARA,MEDICINE (Uva Wellassa University of Sri Lanka),Bio Science,40329.0,25851.0,
